,Swaps,BID,ASK
1y,19-Feb-09,4.1200,4.1400
2y,19-Feb-10,3.8610,3.8820
3y,21-Feb-11,3.8820,3.9020
4y,20-Feb-12,3.9480,3.9680
5y,19-Feb-13,4.0320,4.0520
6y,19-Feb-14,4.1170,4.1370
7y,19-Feb-15,4.2020,4.2220
8y,19-Feb-16,4.2830,4.3030
9y,20-Feb-17,4.3570,4.3770
10y,19-Feb-18,4.4240,4.4440
11y,19-Feb-19,4.4730,4.5130
12y,19-Feb-20,4.5260,4.5660
13y,19-Feb-21,4.5656,4.6099
14y,21-Feb-22,4.6034,4.6465
15y,20-Feb-23,4.6360,4.6760
16y,19-Feb-24,4.6629,4.7010
17y,19-Feb-25,4.6847,4.7223
18y,19-Feb-26,4.7019,4.7400
19y,19-Feb-27,4.7154,4.7545
20y,21-Feb-28,4.7260,4.7660
21y,19-Feb-29,4.7343,4.7748
22y,19-Feb-30,4.7405,4.7812
23y,19-Feb-31,4.7450,4.7855
24y,19-Feb-32,4.7478,4.7880
25y,21-Feb-33,4.7490,4.7890
26y,20-Feb-34,4.7489,4.7887
27y,19-Feb-35,4.7476,4.7874
28y,19-Feb-36,4.7454,4.7853
29y,19-Feb-37,4.7425,4.7824
30y,19-Feb-38,4.7390,4.7790
31y,21-Feb-39,4.7352,4.7752
32y,20-Feb-40,4.7311,4.7712
33y,19-Feb-41,4.7267,4.7669
34y,19-Feb-42,4.7222,4.7623
35y,19-Feb-43,4.7175,4.7576
36y,19-Feb-44,4.7127,4.7528
37y,20-Feb-45,4.7078,4.7478
38y,19-Feb-46,4.7028,4.7429
39y,19-Feb-47,4.6979,4.7379
40y,19-Feb-48,4.6930,4.7330
41y,19-Feb-49,4.6882,4.7281
42y,21-Feb-50,4.6834,4.7234
43y,20-Feb-51,4.6787,4.7187
44y,19-Feb-52,4.6741,4.7141
45y,19-Feb-53,4.6695,4.7095
46y,19-Feb-54,4.6649,4.7049
47y,19-Feb-55,4.6604,4.7004
48y,21-Feb-56,4.6559,4.6959
49y,19-Feb-57,4.6515,4.6915
50y,19-Feb-58,4.6470,4.6870
